 log10_L ,  log10_M
 8.90500 , 10.95765
 8.90600 , 10.95815
 8.90700 , 10.95865
 8.90800 , 10.95915
 8.90900 , 10.95965
 8.91000 , 10.96015
 8.91100 , 10.96065
 8.91200 , 10.96115
 8.91300 , 10.96165
 8.91400 , 10.96215
 8.91500 , 10.96265
 8.91600 , 10.96315
 8.91700 , 10.96365
 8.91800 , 10.96415
 8.91900 , 10.96465
 8.92000 , 10.96515
 8.92100 , 10.96565
 8.92200 , 10.96615
 8.92300 , 10.96665
 8.92400 , 10.96715
 8.92500 , 10.96765
 8.92600 , 10.96815
 8.92700 , 10.96865
 8.92800 , 10.96915
 8.92900 , 10.96965
 8.93000 , 10.97015
 8.93100 , 10.97065
 8.93200 , 10.97115
 8.93300 , 10.97165
 8.93400 , 10.97215
 8.93500 , 10.97265
 8.93600 , 10.97315
 8.93700 , 10.97365
 8.93800 , 10.97415
 8.93900 , 10.97465
 8.94000 , 10.97515
 8.94100 , 10.97565
 8.94200 , 10.97615
 8.94300 , 10.97665
 8.94400 , 10.97715
 8.94500 , 10.97765
 8.94600 , 10.97815
 8.94700 , 10.97865
 8.94800 , 10.97915
 8.94900 , 10.97965
 8.95000 , 10.98015
 8.95100 , 10.98065
 8.95200 , 10.98115
 8.95300 , 10.98165
 8.95400 , 10.98215
 8.95500 , 10.98265
 8.95600 , 10.98315
 8.95700 , 10.98365
 8.95800 , 10.98415
 8.95900 , 10.98465
 8.96000 , 10.98515
 8.96100 , 10.98565
 8.96200 , 10.98615
 8.96300 , 10.98665
 8.96400 , 10.98715
 8.96500 , 10.98765
 8.96600 , 10.98815
 8.96700 , 10.98865
 8.96708 , 10.98874
 8.96808 , 10.98924
 8.96908 , 10.98974
 8.97008 , 10.99024
 8.97108 , 10.99074
 8.97208 , 10.99124
 8.97308 , 10.99174
 8.97408 , 10.99224
 8.97508 , 10.99274
 8.97608 , 10.99325
 8.97708 , 10.99375
 8.97808 , 10.99425
 8.97908 , 10.99475
 8.98008 , 10.99526
 8.98108 , 10.99576
 8.98208 , 10.99626
 8.98308 , 10.99677
 8.98408 , 10.99727
 8.98508 , 10.99777
 8.98608 , 10.99828
 8.98708 , 10.99878
 8.98808 , 10.99929
 8.98908 , 10.99979
 8.99008 , 11.00030
 8.99108 , 11.00080
 8.99208 , 11.00131
 8.99308 , 11.00181
 8.99408 , 11.00232
 8.99508 , 11.00282
 8.99608 , 11.00333
 8.99708 , 11.00384
 8.99808 , 11.00434
 8.99908 , 11.00485
 9.00008 , 11.00536
 9.00108 , 11.00587
 9.00208 , 11.00637
 9.00308 , 11.00688
 9.00408 , 11.00739
 9.00508 , 11.00790
 9.00608 , 11.00841
 9.00708 , 11.00891
 9.00808 , 11.00942
 9.00908 , 11.00993
 9.01008 , 11.01044
 9.01108 , 11.01095
 9.01208 , 11.01146
 9.01308 , 11.01197
 9.01408 , 11.01248
 9.01508 , 11.01299
 9.01608 , 11.01350
 9.01708 , 11.01401
 9.01808 , 11.01453
 9.01908 , 11.01504
 9.02008 , 11.01555
 9.02108 , 11.01606
 9.02208 , 11.01657
 9.02308 , 11.01708
 9.02408 , 11.01760
 9.02508 , 11.01811
 9.02608 , 11.01862
 9.02708 , 11.01914
 9.02808 , 11.01965
 9.02908 , 11.02016
 9.03008 , 11.02068
 9.03108 , 11.02119
 9.03208 , 11.02171
 9.03308 , 11.02222
 9.03408 , 11.02273
 9.03508 , 11.02325
 9.03608 , 11.02376
 9.03708 , 11.02428
 9.03808 , 11.02480
 9.03908 , 11.02531
 9.04008 , 11.02583
 9.04108 , 11.02634
 9.04208 , 11.02686
 9.04308 , 11.02738
 9.04408 , 11.02789
 9.04508 , 11.02841
 9.04608 , 11.02893
 9.04708 , 11.02945
 9.04808 , 11.02996
 9.04908 , 11.03048
 9.05008 , 11.03100
 9.05108 , 11.03152
 9.05208 , 11.03204
 9.05308 , 11.03256
 9.05408 , 11.03308
 9.05508 , 11.03360
 9.05608 , 11.03412
 9.05708 , 11.03464
 9.05808 , 11.03516
 9.05908 , 11.03568
 9.06008 , 11.03620
 9.06108 , 11.03672
 9.06208 , 11.03724
 9.06308 , 11.03776
 9.06408 , 11.03828
 9.06508 , 11.03880
 9.06608 , 11.03933
 9.06708 , 11.03985
 9.06808 , 11.04037
